Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Industry,Company Revenue,Company Rating,Company Friend Reccomendation,Companny Number of Rater,Company Career Opportinities,Compensation and Benefits,Company Culture and Values,Company Senior Management,Company Work Life Balance,State,python_yn,r_yn,sql_yn,java_yn,julia_yn,scala_yn,c_yn,c++_yn,javascript_yn,spark_yn,hadoop_yn,matlab_yn,sas_yn,git_yn,excel_yn,nosql_yn,aws_yn,mongodb_yn,cassandra_yn,hive_yn,bigml_yn,tableau_yn,powerbi_yn,nlp_yn,pytorch_yn,tensorflow_yn,mathematic_yn,statistic_yn
Data Specialist,Perth,Fugro,120494,89000,164000,10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,$2 to $5 billion (USD),3.6,66.0,121.0,3.3,3.1,3.5,2.9,3.4,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,Perth,Deloitte,74854,75000,75000,10000+ Employees,Company - Private,Finance,Accounting & Tax,$10+ billion (USD),4.0,82.0,10725.0,4.1,3.6,4.0,3.7,3.2,Western Australia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Site Manager,Perth,QinetiQ,112008,103000,122000,1001 to 5000 Employees,Company - Private,Aerospace & Defence,Aerospace & Defence,$1 to $2 billion (USD),3.9,82.0,202.0,3.7,3.2,4.0,3.5,4.3,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Analytics Consultant,Perth,AECOM,171556,157000,187000,10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,$10+ billion (USD),3.7,73.0,802.0,3.7,3.4,3.6,3.3,3.5,Western Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Coordinator,Perth,Downer Group,75132,71000,80000,10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,$5 to $10 billion (USD),3.7,73.0,219.0,3.5,3.2,3.4,3.1,3.3,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Engineer,Perth,Alcoa Corporation,103733,77000,140000,10000+ Employees,Company - Public,Manufacturing,Metal & Mineral Manufacturing,$10+ billion (USD),3.1,52.0,651.0,3.8,4.0,4.0,3.6,3.9,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Scientist,Perth,Greencap,85775,74000,99000,10000+ Employees,Company - Public,Retail & Wholesale,Motor Vehicle Dealers,$10+ billion (USD),4.2,84.0,24.0,3.5,3.6,4.1,3.4,3.9,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Professional Services Consultant,Perth,ERM Group,87078,82000,92000,5001 to 10000 Employees,Company - Private,Management & Consulting,Business Consulting,$500 million to $1 billion (USD),3.7,72.0,20.0,3.6,3.1,3.8,3.4,3.4,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Analyst,Perth,Hexagon Geosystems,126086,110000,144000,1001 to 5000 Employees,Company - Public,Information Technology,Computer Hardware Development,$500 million to $1 billion (USD),3.7,70.0,7.0,3.6,3.5,3.9,3.5,4.0,Western Australia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Front End Engineer,Perth,Accenture,94046,90000,98000,10000+ Employees,Company - Public,Management & Consulting,Business Consulting,$10+ billion (USD),3.9,76.0,245.0,4.0,3.4,3.8,3.4,3.2,Western Australia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Contract Administrator,Bunbury,GHD,169706,144000,200000,5001 to 10000 Employees,Company - Private,Management & Consulting,Business Consulting,$1 to $2 billion (USD),3.7,74.0,362.0,3.6,3.1,3.7,3.4,3.5,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Analyst,Perth,Bankwest,90405,76000,108000,1001 to 5000 Employees,Subsidiary or Business Segment,Finance,Banking & Lending,$1 to $2 billion (USD),3.9,80.0,83.0,3.7,3.3,4.0,3.5,3.9,Western Australia,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information Security Engineer,Perth,NTT Ltd,78877,72000,86000,10000+ Employees,Company - Private,Information Technology,Information Technology Support Services,$5 to $10 billion (USD),3.8,73.0,416.0,3.6,3.5,3.7,3.4,3.7,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Software Developer,Perth,Worley,101052,82000,125000,10000+ Employees,Company - Public,"Energy, Mining, Utilities",Energy & Utilities,$5 to $10 billion (USD),3.5,72.0,442.0,3.3,3.2,3.4,3.1,3.5,Western Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Perth,Deloitte,143594,132000,156000,10000+ Employees,Company - Private,Finance,Accounting & Tax,$10+ billion (USD),4.0,82.0,10725.0,4.1,3.6,4.0,3.7,3.2,Western Australia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
